Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Mileage(km/L),Engine(CC),Power(bhp),Brand,Country,Continent,Price_Cat,City_population
Mumbai,2682.68,2010,72000,CNG,Manual,First,5.0,26.6,998.0,58.16,Maruti,India,Asia,c1,20961
Pune,19162.0,2015,41000,Diesel,Manual,First,5.0,19.67,1582.0,126.2,Hyundai,Korea,Asia,c4,6987
Chennai,6898.32,2011,46000,Petrol,Manual,First,5.0,18.2,1199.0,88.7,Honda,Japan,Asia,c2,11503
Chennai,9197.76,2012,87000,Diesel,Manual,First,7.0,20.77,1248.0,88.76,Maruti,India,Asia,c3,11503
Coimbatore,27194.71,2013,40670,Diesel,Automatic,Second,5.0,15.2,1968.0,140.8,Audi,Germany,Europe,c4,2935
Hyderabad,3602.46,2012,75000,LPG,Manual,First,5.0,21.1,814.0,55.2,Hyundai,Korea,Asia,c1,10534
Jaipur,5365.36,2013,86999,Diesel,Manual,First,5.0,23.08,1461.0,63.1,Nissan,Japan,Asia,c1,4107
Mumbai,26826.8,2016,36000,Diesel,Automatic,First,8.0,11.36,2755.0,171.5,Toyota,Japan,Asia,c4,20961
Pune,7971.39,2013,64430,Diesel,Manual,First,5.0,20.54,1598.0,103.6,Volkswagen,Germany,Europe,c2,6987
Chennai,2989.27,2012,65932,Diesel,Manual,Second,5.0,22.3,1248.0,74.0,Tata,India,Asia,c1,11503
Kochi,15252.95,2018,25692,Petrol,Manual,First,5.0,21.56,1462.0,103.25,Maruti,India,Asia,c3,3301
Kolkata,6882.99,2012,60000,Petrol,Automatic,First,5.0,16.8,1497.0,116.3,Honda,Japan,Asia,c2,15134
Jaipur,8584.58,2015,64424,Diesel,Manual,First,5.0,25.2,1248.0,74.0,Maruti,India,Asia,c2,4107
Delhi,41389.92,2014,72000,Diesel,Automatic,First,5.0,12.7,2179.0,187.7,Land-Rover,India,Asia,c5,32066
Pune,26826.8,2012,85000,Diesel,Automatic,Second,5.0,12.39,2179.0,115.0,Land-Rover,India,Asia,c4,6987
Delhi,22994.4,2014,110000,Diesel,Manual,First,7.0,13.5,2477.0,175.56,Mitsubishi,Japan,Asia,c4,32066
Kochi,8277.98,2016,58950,Diesel,Manual,First,5.0,25.8,1498.0,98.6,Honda,Japan,Asia,c2,3301
Jaipur,9182.43,2017,25000,Diesel,Manual,First,5.0,28.4,1248.0,74.0,Maruti,India,Asia,c3,4107
Kochi,9718.97,2014,77469,Diesel,Manual,First,5.0,20.45,1461.0,83.8,Renault,France,Europe,c3,3301
Bangalore,42922.88,2014,78500,Diesel,Automatic,First,5.0,14.84,2143.0,167.62,Mercedes-Benz,Germany,Europe,c5,13193
Kochi,28436.41,2014,32982,Diesel,Automatic,First,5.0,22.69,1995.0,190.0,BMW,Germany,Europe,c4,3301
Bangalore,12646.92,2015,55392,Diesel,Manual,Second,5.0,23.65,1248.0,88.5,Maruti,India,Asia,c3,13193
Mumbai,36024.56,2015,55985,Petrol,Automatic,First,5.0,13.53,1984.0,177.01,Audi,Germany,Europe,c5,20961
Kolkata,2866.64,2010,45807,Petrol,Manual,First,5.0,18.5,1197.0,80.0,Hyundai,Korea,Asia,c1,15134
Kolkata,4368.94,2010,33000,Petrol,Automatic,First,5.0,14.4,1598.0,103.6,Volkswagen,Germany,Europe,c1,15134
Mumbai,6515.08,2012,51920,Petrol,Manual,First,5.0,16.8,1497.0,116.3,Honda,Japan,Asia,c2,20961
Hyderabad,6515.08,2012,54000,Diesel,Manual,First,5.0,23.08,1461.0,63.1,Nissan,Japan,Asia,c2,10534
Hyderabad,4215.64,2013,54000,Petrol,Manual,Second,5.0,20.92,998.0,67.1,Maruti,India,Asia,c1,10534
Kochi,15176.3,2018,37430,Petrol,Manual,First,5.0,17.5,1199.0,88.7,Honda,Japan,Asia,c3,3301
Mumbai,6131.84,2007,262000,Diesel,Manual,Fourth & Above,7.0,12.8,2494.0,102.0,Toyota,Japan,Asia,c2,20961
Bangalore,11880.44,2013,62000,Diesel,Manual,First,5.0,19.01,1461.0,108.45,Renault,France,Europe,c3,13193
Delhi,10347.48,2012,87615,Petrol,Manual,First,5.0,14.53,1798.0,138.1,Toyota,Japan,Asia,c3,32066
Bangalore,19162.0,2013,72000,Diesel,Automatic,Second,7.0,11.18,2696.0,184.0,Mahindra,India,Asia,c4,13193
Kolkata,17629.04,2010,35000,Diesel,Automatic,First,5.0,12.4,2698.0,179.5,Audi,Germany,Europe,c4,15134
Coimbatore,10700.06,2014,55431,Petrol,Manual,Second,5.0,16.09,1598.0,103.5,Volkswagen,Germany,Europe,c3,2935
Jaipur,2835.98,2009,83816,Petrol,Manual,Second,5.0,14.0,1061.0,64.0,Maruti,India,Asia,c1,4107
Kochi,13229.44,2018,50075,Diesel,Manual,First,5.0,24.3,1248.0,88.5,Maruti,India,Asia,c3,3301
Delhi,7434.86,2017,52000,Petrol,Manual,First,5.0,18.15,1198.0,82.0,Mahindra,India,Asia,c2,32066
Pune,42922.88,2013,85000,Diesel,Automatic,First,5.0,11.74,2987.0,254.8,Mercedes-Benz,Germany,Europe,c5,6987
Chennai,7664.8,2013,62000,Diesel,Manual,First,5.0,22.07,1199.0,73.9,Volkswagen,Germany,Europe,c2,11503
Delhi,1916.2,2008,90000,Petrol,Manual,Second,5.0,19.7,796.0,46.3,Maruti,India,Asia,c1,32066
Kochi,2345.43,2014,19698,Petrol,Manual,First,4.0,25.4,624.0,37.5,Tata,India,Asia,c1,3301
Coimbatore,8553.92,2017,22033,Diesel,Manual,First,6.0,25.32,1198.0,77.0,Mahindra,India,Asia,c2,2935
Kochi,7266.23,2014,35487,Petrol,Manual,First,5.0,18.5,1197.0,82.9,Hyundai,Korea,Asia,c2,3301
Bangalore,13566.7,2014,46374,Petrol,Automatic,First,5.0,14.62,1999.0,149.92,Hyundai,Korea,Asia,c3,13193
Mumbai,15498.23,2016,52001,Petrol,Automatic,First,5.0,14.28,1798.0,138.03,Toyota,Japan,Asia,c3,20961
Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,5.0,14.9,1991.0,112.2,Hyundai,Korea,Asia,c2,8450
Bangalore,16785.91,2012,70704,Petrol,Manual,First,7.0,11.25,2694.0,163.7,Toyota,Japan,Asia,c4,13193
Jaipur,5901.9,2014,75000,Diesel,Manual,First,5.0,24.4,1120.0,71.0,Hyundai,Korea,Asia,c2,4107
Jaipur,8431.28,2012,75800,Diesel,Manual,Second,6.0,16.55,2498.0,105.0,Mahindra,India,Asia,c2,4107
Kochi,32851.33,2015,13648,Diesel,Automatic,First,5.0,17.11,1968.0,174.33,Audi,Germany,Europe,c5,3301
Delhi,6515.08,2014,52000,Diesel,Manual,First,5.0,22.9,1248.0,74.0,Maruti,India,Asia,c2,32066
Kolkata,5058.77,2014,53000,Diesel,Manual,First,5.0,17.8,1248.0,75.0,Maruti,India,Asia,c1,15134
Delhi,5901.9,2013,65650,Diesel,Manual,First,5.0,28.4,1248.0,74.0,Maruti,India,Asia,c2,32066
Chennai,5518.66,2015,54000,Petrol,Manual,Third,5.0,18.9,1197.0,82.0,Hyundai,Korea,Asia,c2,11503
Kolkata,6116.51,2015,39000,Petrol,Manual,First,5.0,15.04,1598.0,103.2,Volkswagen,Germany,Europe,c2,15134
Kochi,5058.77,2017,16542,Petrol,Manual,First,5.0,25.17,799.0,53.3,Renault,France,Europe,c1,3301
Kolkata,3173.23,2010,32000,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c1,15134
Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,5.0,13.29,1995.0,147.6,Nissan,Japan,Asia,c3,10534
Hyderabad,3449.16,2010,39300,Petrol,Manual,First,5.0,18.2,998.0,67.1,Maruti,India,Asia,c1,10534
Mumbai,25293.84,2017,22000,Diesel,Manual,First,8.0,13.68,2393.0,147.8,Toyota,Japan,Asia,c4,20961
Bangalore,4215.64,2010,72000,Diesel,Manual,First,5.0,20.0,1399.0,68.0,Ford,USA,America,c1,13193
Delhi,40930.03,2015,58000,Petrol,Automatic,First,5.0,11.74,1796.0,186.0,Mercedes-Benz,Germany,Europe,c5,32066
Pune,15329.6,2011,65000,Diesel,Manual,Second,5.0,15.8,2148.0,170.0,Mercedes-Benz,Germany,Europe,c3,6987
Chennai,3832.4,2016,178000,Diesel,Manual,First,5.0,25.0,1396.0,69.0,Tata,India,Asia,c1,11503
Jaipur,20694.96,2012,65664,Diesel,Automatic,First,5.0,16.55,1968.0,140.0,Audi,Germany,Europe,c4,4107
Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,5.0,16.4,1497.0,78.0,Honda,Japan,Asia,c1,20961
Coimbatore,54680.68,2019,15369,Diesel,Automatic,First,5.0,23.0,1950.0,194.0,Mercedes-Benz,Germany,Europe,c5,2935
Pune,12493.62,2016,63000,Diesel,Manual,First,7.0,24.52,1248.0,88.5,Maruti,India,Asia,c3,6987
Mumbai,16096.08,2018,13000,Diesel,Manual,First,5.0,22.1,1396.0,88.7,Hyundai,Korea,Asia,c4,20961
