Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Mileage(km/L),Engine(CC),Power(bhp),Brand,Country,Continent,Price_Cat,City_population,Name
Mumbai,2682.68,2010,72000,CNG,Manual,First,5.0,26.6,998.0,58.16,Maruti,India,Asia,c1,20961,Maruti Wagon R LXI CNG
Pune,19162.0,2015,41000,Diesel,Manual,First,5.0,19.67,1582.0,126.2,Hyundai,Korea,Asia,c4,6987,Hyundai Creta 1.6 CRDi SX Option
Chennai,6898.32,2011,46000,Petrol,Manual,First,5.0,18.2,1199.0,88.7,Honda,Japan,Asia,c2,11503,Honda Jazz V
Chennai,9197.76,2012,87000,Diesel,Manual,First,7.0,20.77,1248.0,88.76,Maruti,India,Asia,c3,11503,Maruti Ertiga VDI
Coimbatore,27194.71,2013,40670,Diesel,Automatic,Second,5.0,15.2,1968.0,140.8,Audi,Germany,Europe,c4,2935,Audi A4 New 2.0 TDI Multitronic
Hyderabad,3602.46,2012,75000,LPG,Manual,First,5.0,21.1,814.0,55.2,Hyundai,Korea,Asia,c1,10534,Hyundai EON LPG Era Plus Option
Jaipur,5365.36,2013,86999,Diesel,Manual,First,5.0,23.08,1461.0,63.1,Nissan,Japan,Asia,c1,4107,Nissan Micra Diesel XV
Mumbai,26826.8,2016,36000,Diesel,Automatic,First,8.0,11.36,2755.0,171.5,Toyota,Japan,Asia,c4,20961,Toyota Innova Crysta 2.8 GX AT 8S
Pune,7971.39,2013,64430,Diesel,Manual,First,5.0,20.54,1598.0,103.6,Volkswagen,Germany,Europe,c2,6987,Volkswagen Vento Diesel Comfortline
Chennai,2989.27,2012,65932,Diesel,Manual,Second,5.0,22.3,1248.0,74.0,Tata,India,Asia,c1,11503,Tata Indica Vista Quadrajet LS
Kochi,15252.95,2018,25692,Petrol,Manual,First,5.0,21.56,1462.0,103.25,Maruti,India,Asia,c3,3301,Maruti Ciaz Zeta
Kolkata,6882.99,2012,60000,Petrol,Automatic,First,5.0,16.8,1497.0,116.3,Honda,Japan,Asia,c2,15134,Honda City 1.5 V AT Sunroof
Jaipur,8584.58,2015,64424,Diesel,Manual,First,5.0,25.2,1248.0,74.0,Maruti,India,Asia,c2,4107,Maruti Swift VDI BSIV
Delhi,41389.92,2014,72000,Diesel,Automatic,First,5.0,12.7,2179.0,187.7,Land-Rover,India,Asia,c5,32066,Land Rover Range Rover 2.2L Pure
Pune,26826.8,2012,85000,Diesel,Automatic,Second,5.0,12.39,2179.0,115.0,Land-Rover,India,Asia,c4,6987,Land Rover Freelander 2 TD4 SE
Delhi,22994.4,2014,110000,Diesel,Manual,First,7.0,13.5,2477.0,175.56,Mitsubishi,Japan,Asia,c4,32066,Mitsubishi Pajero Sport 4X4
Kochi,8277.98,2016,58950,Diesel,Manual,First,5.0,25.8,1498.0,98.6,Honda,Japan,Asia,c2,3301,Honda Amaze S i-Dtech
Jaipur,9182.43,2017,25000,Diesel,Manual,First,5.0,28.4,1248.0,74.0,Maruti,India,Asia,c3,4107,Maruti Swift DDiS VDI
Kochi,9718.97,2014,77469,Diesel,Manual,First,5.0,20.45,1461.0,83.8,Renault,France,Europe,c3,3301,Renault Duster 85PS Diesel RxL Plus
Bangalore,42922.88,2014,78500,Diesel,Automatic,First,5.0,14.84,2143.0,167.62,Mercedes-Benz,Germany,Europe,c5,13193,Mercedes-Benz New C-Class C 220 CDI BE Avantgare
Kochi,28436.41,2014,32982,Diesel,Automatic,First,5.0,22.69,1995.0,190.0,BMW,Germany,Europe,c4,3301,BMW 3 Series 320d
Bangalore,12646.92,2015,55392,Diesel,Manual,Second,5.0,23.65,1248.0,88.5,Maruti,India,Asia,c3,13193,Maruti S Cross DDiS 200 Alpha
Mumbai,36024.56,2015,55985,Petrol,Automatic,First,5.0,13.53,1984.0,177.01,Audi,Germany,Europe,c5,20961,Audi A6 2011-2015 35 TFSI Technology
Kolkata,2866.64,2010,45807,Petrol,Manual,First,5.0,18.5,1197.0,80.0,Hyundai,Korea,Asia,c1,15134,Hyundai i20 1.2 Magna
Kolkata,4368.94,2010,33000,Petrol,Automatic,First,5.0,14.4,1598.0,103.6,Volkswagen,Germany,Europe,c1,15134,Volkswagen Vento Petrol Highline AT
